Name,Date,Placement
FakeOut Nation,5/13/16,1
Montage in Action,5/13/16,2
Divinity,5/13/16,3
Virtual Rockets,5/13/16,4
Momentum,6/3/16,1
PRL NA,6/3/16,2
Momentum,6/17/16,1
FakeOut Nation,6/17/16,2
Lucky Bounce,6/17/16,3
Empyreal,6/17/16,4
Momentum,7/1/16,1
2 Goals 1 Cup,7/1/16,2
PLAY5 Gaming,7/1/16,3
NA Bae,7/1/16,4
Momentum,7/8/16,1
Lucky Bounce,7/8/16,2
Flying Rockets,7/8/16,3
Jinx,7/8/16,4
Exodus,7/15/16,1
Momentum,7/15/16,2
Boost > Ball,7/15/16,3
Literally,7/15/16,4
Literally,7/22/16,1
Ironhype,7/22/16,2
Mystery eSports,7/22/16,3
Chef,7/22/16,4
Momentum,7/29/16,1
vVv Gaming,7/29/16,2
SEO Moves,7/29/16,3
Rocket Rats,7/29/16,4
Lemonade for Turtles,8/12/16,1
Boost > Ball,8/12/16,2
Finger Puppet Mafia,8/12/16,3
Last Minute Team,8/12/16,4
Lemonade for Turtles,8/19/16,1
Deception,8/19/16,2
Legacy eSports NA,8/19/16,3
Superposition,8/19/16,4
Momentum,8/27/16,1
Inertia,8/27/16,2
Bums of Beckwith Park,8/27/16,3
Discipline,8/27/16,4
Momentum,9/2/16,1
Vendetta,9/2/16,2
M-m-m-my KKona,9/2/16,3
Literally,9/2/16,4
